o,e
"{""shipName"":Split Rail Beer & Ale,""orderID"":10385}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":LINO-Delicateses,""orderID"":10405}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Wartian Herkku,""orderID"":10270}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Galería del gastronómo,""orderID"":10928}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rattlesnake Canyon Grocery,""orderID"":10401}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Bon app',""orderID"":10525}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":QUICK-Stop,""orderID"":10788}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rattlesnake Canyon Grocery,""orderID"":11077}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Hungry Coyote Import Store,""orderID"":10394}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Split Rail Beer & Ale,""orderID"":10821}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":QUICK-Stop,""orderID"":10991}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Berglunds snabbköp,""orderID"":10626}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Lazy K Kountry Store,""orderID"":10482}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":10393}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Around the Horn,""orderID"":10558}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Lonesome Pine Restaurant,""orderID"":10665}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Pericles Comidas clásicas,""orderID"":10995}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Godos Cocina Típica,""orderID"":10888}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Que Delícia,""orderID"":10587}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Mère Paillarde,""orderID"":10605}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Furia Bacalhau e Frutos do Mar,""orderID"":10604}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Around the Horn,""orderID"":10743}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Island Trading,""orderID"":10473}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Franchi S.p.A.,""orderID"":10710}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ottilies Käseladen,""orderID"":10508}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Old World Delicatessen,""orderID"":10680}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Chop-suey Chinese,""orderID"":10746}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tortuga Restaurante,""orderID"":11069}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Around the Horn,""orderID"":10453}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Frankenversand,""orderID"":11012}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Königlich Essen,""orderID"":10718}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":White Clover Markets,""orderID"":10469}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Königlich Essen,""orderID"":10325}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":LILA-Supermercado,""orderID"":10461}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Berglunds snabbköp,""orderID"":10524}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Reggiani Caseifici,""orderID"":10562}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Frankenversand,""orderID"":10396}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Mère Paillarde,""orderID"":10618}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ernst Handel,""orderID"":10258}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":10713}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Vaffeljernet,""orderID"":10465}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":La maison d'Asie,""orderID"":10371}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Romero y tomillo,""orderID"":10306}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":10984}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Die Wandernde Kuh,""orderID"":10668}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":LILA-Supermercado,""orderID"":11071}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Folies gourmandes,""orderID"":10789}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Vaffeljernet,""orderID"":10946}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tradiçao Hipermercados,""orderID"":10834}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Folk och fä HB,""orderID"":10902}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Frankenversand,""orderID"":10717}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Drachenblut Delikatessen,""orderID"":11067}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Drachenblut Delikatessen,""orderID"":10825}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Hanari Carnes,""orderID"":10981}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Santé Gourmet,""orderID"":10909}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Königlich Essen,""orderID"":10542}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ernst Handel,""orderID"":10776}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Hanari Carnes,""orderID"":10690}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Wolski Zajazd,""orderID"":10792}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Great Lakes Food Market,""orderID"":10616}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":LINO-Delicateses,""orderID"":11039}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Hungry Owl All-Night Grocers,""orderID"":10567}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Victuailles en stock,""orderID"":10850}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Vaffeljernet,""orderID"":10921}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Furia Bacalhau e Frutos do Mar,""orderID"":10664}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Suprêmes délices,""orderID"":11038}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Frankenversand,""orderID"":10859}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Eastern Connection,""orderID"":10364}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Wolski Zajazd,""orderID"":10374}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Bon app',""orderID"":10827}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Vaffeljernet,""orderID"":10591}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ernst Handel,""orderID"":10351}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":B's Beverages,""orderID"":11023}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":The Big Cheese,""orderID"":10992}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Gourmet Lanchonetes,""orderID"":10709}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Reggiani Caseifici,""orderID"":10655}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Save-a-lot Markets,""orderID"":11064}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Berglunds snabbköp,""orderID"":10733}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Alfred's Futterkiste,""orderID"":10952}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rattlesnake Canyon Grocery,""orderID"":10598}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Mère Paillarde,""orderID"":10376}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Rancho grande,""orderID"":10916}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":LILA-Supermercado,""orderID"":10357}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Comércio Mineiro,""orderID"":10969}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Bottom-Dollar Markets,""orderID"":10975}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Bottom-Dollar Markets,""orderID"":11027}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Richter Supermarkt,""orderID"":10537}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Wellington Importadora,""orderID"":10900}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Berglunds snabbköp,""orderID"":10689}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Königlich Essen,""orderID"":10630}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Tortuga Restaurante,""orderID"":10842}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":France restauration,""orderID"":10671}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Ernst Handel,""orderID"":10773}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
"{""shipName"":Antonio Moreno Taquería,""orderID"":10677}","{""lastName"":Davolio,""firstName"":Nancy,""employeeID"":1,""title"":Sales Representative}"
